normalized,display,value
"222/3/p1","222/૩/p૧ ~~","222/૩/p૧ ~~ "
"222/3/p2","222/૩/p૨ ~~","222/૩/p૨ ~~ "
"223","223 ~~","223 ~~ "
"224/1","224/૧ ~~","224/૧ ~~ "
"224/2","224/૨ ~~","224/૨ ~~ "
"224/2/અ/બ/p","224/૨/અ/બ/p ~~","224/૨/અ/બ/p ~~ "
"225","225 ~~","225 ~~ "
"226/p1","226/p૧ ~~","226/p૧ ~~ "
"226/p2","226/p૨ ~~","226/p૨ ~~ "
"227","227 ~~","227 ~~ "
"228/p1/p","228/p૧/p ~~","228/p૧/p ~~ "
"229/p","229/p ~~","229/p ~~ "
"230/p1","230/p૧ ~~","230/p૧ ~~ "
"230/p1/p1","230/p૧/p૧ ~~","230/p૧/p૧ ~~ "
"230/p1/p2","230/p૧/p૨ ~~","230/p૧/p૨ ~~ "
"230/p1/p3","230/p૧/p૩ ~~","230/p૧/p૩ ~~ "
"230/p2","230/p૨ ~~","230/p૨ ~~ "
"231/1","231/૧ ~~","231/૧ ~~ "
"231/2","231/૨ ~~","231/૨ ~~ "
"232/1","232/૧ ~~","232/૧ ~~ "
"232/2/p1","232/૨/p૧ ~~","232/૨/p૧ ~~ "
"232/2/p1/p1","232/૨/p૧/p૧ ~~","232/૨/p૧/p૧ ~~ "
"232/2/p2","232/૨/p૨ ~~","232/૨/p૨ ~~ "
"233","233 ~~","233 ~~ "
"234p1","234p૧ ~~","234p૧ ~~ "
"234p2","234p૨ ~~","234p૨ ~~ "
"235/1","235/૧ ~~","235/૧ ~~ "
"235/2","235/૨ ~~","235/૨ ~~ "
"236/1","236/૧ ~~","236/૧ ~~ "
"236/1/p1","236/૧/p૧ ~~","236/૧/p૧ ~~ "
"236/1/p2","236/૧/p૨ ~~","236/૧/p૨ ~~ "
"236/2","236/૨ ~~","236/૨ ~~ "
"236/2/p1","236/૨/p૧ ~~","236/૨/p૧ ~~ "
"237/1","237/૧ ~~","237/૧ ~~ "
"237/2","237/૨ ~~","237/૨ ~~ "
"237/3","237/૩ ~~","237/૩ ~~ "
"238/1","238/૧ ~~","238/૧ ~~ "
"238/2/p1","238/૨/p૧ ~~","238/૨/p૧ ~~ "
"238/2/p2","238/૨/p૨ ~~","238/૨/p૨ ~~ "
"238/2/p3","238/૨/p૩ ~~","238/૨/p૩ ~~ "
"238/2/p4","238/૨/p૪ ~~","238/૨/p૪ ~~ "
"239/1/p2","239/૧/p૨ ~~","239/૧/p૨ ~~ "
"239/1p","239/૧p ~~","239/૧p ~~ "
"239/2","239/૨ ~~","239/૨ ~~ "
"239/p3","239/p૩ ~~","239/p૩ ~~ "
"240/1","240/૧ ~~","240/૧ ~~ "
"240/1/1","240/૧/૧ ~~","240/૧/૧ ~~ "
"240/1/2","240/૧/૨ ~~","240/૧/૨ ~~ "
"240/2/1","240/૨/૧ ~~","240/૨/૧ ~~ "
"240/2/2","240/૨/૨ ~~","240/૨/૨ ~~ "
"240/2/3","240/૨/૩ ~~","240/૨/૩ ~~ "
"241/1","241/૧ ~~","241/૧ ~~ "
"241/2","241/૨ ~~","241/૨ ~~ "
"242","242 ~~","242 ~~ "
"243/p","243/p ~~","243/p ~~ "
"244/1","244/૧ ~~","244/૧ ~~ "
"244/2","244/૨ ~~","244/૨ ~~ "
"245","245 ~~","245 ~~ "
"246/1","246/૧ ~~","246/૧ ~~ "
"246/2","246/૨ ~~","246/૨ ~~ "
"247/1+3બ/p1","247/૧+૩બ/p૧ ~~","247/૧+૩બ/p૧ ~~ "
"247/1+3બ/p1/p1","247/૧+૩બ/p૧/p૧ ~~","247/૧+૩બ/p૧/p૧ ~~ "
"247/1+3બ/p1/p2","247/૧+૩બ/p૧/p૨ ~~","247/૧+૩બ/p૧/p૨ ~~ "
"247/1+3બ/p2","247/૧+૩બ/p૨ ~~","247/૧+૩બ/p૨ ~~ "
"247/2","247/૨ ~~","247/૨ ~~ "
"247/3/અ","247/૩/અ ~~","247/૩/અ ~~ "
"248/1","248/૧ ~~","248/૧ ~~ "
"248/2","248/૨ ~~","248/૨ ~~ "
"249/1","249/૧ ~~","249/૧ ~~ "
"249/2","249/૨ ~~","249/૨ ~~ "
"249/3","249/૩ ~~","249/૩ ~~ "
"250","250 ~~","250 ~~ "
"251","251 ~~","251 ~~ "
"252/1","252/૧ ~~","252/૧ ~~ "
"252/2","252/૨ ~~","252/૨ ~~ "
"253/1/p2","253/૧/p૨ ~~","253/૧/p૨ ~~ "
"253/1p1","253/૧p૧ ~~","253/૧p૧ ~~ "
"253/1p3","253/૧p૩ ~~","253/૧p૩ ~~ "
"253/2","253/૨ ~~","253/૨ ~~ "
"253/3p","253/૩p ~~","253/૩p ~~ "
"254/1","254/૧ ~~","254/૧ ~~ "
"254/2","254/૨ ~~","254/૨ ~~ "
"254/3","254/૩ ~~","254/૩ ~~ "
"255/1","255/૧ ~~","255/૧ ~~ "
"255/2","255/૨ ~~","255/૨ ~~ "
"256/1/p1","256/૧/p૧ ~~","256/૧/p૧ ~~ "
"256/1p","256/૧p ~~","256/૧p ~~ "
"256/2+3/p","256/૨+૩/p ~~","256/૨+૩/p ~~ "
"257/1","257/૧ ~~","257/૧ ~~ "
"257/2","257/૨ ~~","257/૨ ~~ "
"257/2/p","257/૨/p ~~","257/૨/p ~~ "
"258","258 ~~","258 ~~ "
"259/p1/p","259/p૧/p ~~","259/p૧/p ~~ "
"259/p2","259/p૨ ~~","259/p૨ ~~ "
"260/1/p1","260/૧/p૧ ~~","260/૧/p૧ ~~ "
"260/1/p2","260/૧/p૨ ~~","260/૧/p૨ ~~ "
"260/2","260/૨ ~~","260/૨ ~~ "
"261","261 ~~","261 ~~ "
"262","262 ~~","262 ~~ "
"263/1","263/૧ ~~","263/૧ ~~ "
"263/2","263/૨ ~~","263/૨ ~~ "
"263/3","263/૩ ~~","263/૩ ~~ "
"263/4","263/૪ ~~","263/૪ ~~ "
"264/1","264/૧ ~~","264/૧ ~~ "
"264/1/p","264/૧/p ~~","264/૧/p ~~ "
"264/2/p1","264/૨/p૧ ~~","264/૨/p૧ ~~ "
"264/2/p2","264/૨/p૨ ~~","264/૨/p૨ ~~ "
"265","265 ~~","265 ~~ "
"266","266 ~~","266 ~~ "
"267/p","267/p ~~","267/p ~~ "
"267/p1","267/p૧ ~~","267/p૧ ~~ "
"268/1p1","268/૧p૧ ~~","268/૧p૧ ~~ "
"268/2","268/૨ ~~","268/૨ ~~ "
"268/p","268/p ~~","268/p ~~ "
"269/1","269/૧ ~~","269/૧ ~~ "
"269/2/p","269/૨/p ~~","269/૨/p ~~ "
"270/1","270/૧ ~~","270/૧ ~~ "
"270/2/p","270/૨/p ~~","270/૨/p ~~ "
"271/p","271/p ~~","271/p ~~ "
"272/p","272/p ~~","272/p ~~ "
"273/1","273/૧ ~~","273/૧ ~~ "
"273/2","273/૨ ~~","273/૨ ~~ "
"274/1","274/૧ ~~","274/૧ ~~ "
"274/2","274/૨ ~~","274/૨ ~~ "
"274/3","274/૩ ~~","274/૩ ~~ "
"275","275 ~~","275 ~~ "
"276/1","276/૧ ~~","276/૧ ~~ "
"276/1/p","276/૧/p ~~","276/૧/p ~~ "
"276/2","276/૨ ~~","276/૨ ~~ "
"276/3/p","276/૩/p ~~","276/૩/p ~~ "
"276/3/p2","276/૩/p૨ ~~","276/૩/p૨ ~~ "
"277/p1","277/p૧ ~~","277/p૧ ~~ "
"277/p2","277/p૨ ~~","277/p૨ ~~ "
"278/1","278/૧ ~~","278/૧ ~~ "
"278/2","278/૨ ~~","278/૨ ~~ "
"279/1","279/૧ ~~","279/૧ ~~ "
"279/2","279/૨ ~~","279/૨ ~~ "
"279/3","279/૩ ~~","279/૩ ~~ "
"279/4","279/૪ ~~","279/૪ ~~ "
"280/p1","280/p૧ ~~","280/p૧ ~~ "
"280/p2","280/p૨ ~~","280/p૨ ~~ "
"281","281 ~~","281 ~~ "
"282","282 ~~","282 ~~ "
"283","283 ~~","283 ~~ "
"284","284 ~~","284 ~~ "
"285/p1","285/p૧ ~~","285/p૧ ~~ "
"285/p2","285/p૨ ~~","285/p૨ ~~ "
"286","286 ~~","286 ~~ "
"287/1","287/૧ ~~","287/૧ ~~ "
"287/2","287/૨ ~~","287/૨ ~~ "
"288/1","288/૧ ~~","288/૧ ~~ "
"288/2","288/૨ ~~","288/૨ ~~ "
"289/p1","289/p૧ ~~","289/p૧ ~~ "
"289/p2","289/p૨ ~~","289/p૨ ~~ "
"289/p3","289/p૩ ~~","289/p૩ ~~ "
"290/1","290/૧ ~~","290/૧ ~~ "
"290/2","290/૨ ~~","290/૨ ~~ "
"290/3","290/૩ ~~","290/૩ ~~ "
"290/4","290/૪ ~~","290/૪ ~~ "
"290/p","290/પ ~~","290/પ ~~ "
"291/1","291/૧ ~~","291/૧ ~~ "
"291/2","291/૨ ~~","291/૨ ~~ "
"292/p1/p1","292/p૧/p૧ ~~","292/p૧/p૧ ~~ "
"292/p1/p2","292/p૧/p૨ ~~","292/p૧/p૨ ~~ "
"292/p2","292/p૨ ~~","292/p૨ ~~ "
"293/1","293/૧ ~~","293/૧ ~~ "
"293/2","293/૨ ~~","293/૨ ~~ "
"294","294 ~~","294 ~~ "
"295/1","295/૧ ~~","295/૧ ~~ "
"295/2","295/૨ ~~","295/૨ ~~ "
"295/3","295/૩ ~~","295/૩ ~~ "
"296/1","296/૧ ~~","296/૧ ~~ "
"296/2","296/૨ ~~","296/૨ ~~ "
"297/1","297/૧ ~~","297/૧ ~~ "
"297/2/p1","297/૨/p૧ ~~","297/૨/p૧ ~~ "
"297/2/p2","297/૨/p૨ ~~","297/૨/p૨ ~~ "
"298","298 ~~","298 ~~ "
"299/1","299/૧ ~~","299/૧ ~~ "
"299/2","299/૨ ~~","299/૨ ~~ "
"300","300 ~~","300 ~~ "
"301/1","301/૧ ~~","301/૧ ~~ "
"301/2","301/૨ ~~","301/૨ ~~ "
"301/3","301/૩ ~~","301/૩ ~~ "
"302/1","302/૧ ~~","302/૧ ~~ "
"302/2","302/૨ ~~","302/૨ ~~ "
"303","303 ~~","303 ~~ "
"304/1/p","304/૧/p ~~","304/૧/p ~~ "
"304/2","304/૨ ~~","304/૨ ~~ "
"305/p","305/p ~~","305/p ~~ "
"306/p","306/p ~~","306/p ~~ "
"307","307 ~~","307 ~~ "
"308","308 ~~","308 ~~ "
"309/1","309/૧ ~~","309/૧ ~~ "
"309/2","309/૨ ~~","309/૨ ~~ "
"310","310 ~~","310 ~~ "
"311/1","311/૧ ~~","311/૧ ~~ "
"311/2/p1","311/૨/p૧ ~~","311/૨/p૧ ~~ "
"311/2/p2","311/૨/p૨ ~~","311/૨/p૨ ~~ "
"311/3","311/૩ ~~","311/૩ ~~ "
"312/1/p","312/૧/p ~~","312/૧/p ~~ "
"312/2","312/૨ ~~","312/૨ ~~ "
"312/3","312/૩ ~~","312/૩ ~~ "
"312/4","312/૪ ~~","312/૪ ~~ "
"312/6","312/૬ ~~","312/૬ ~~ "
"312/7","312/૭ ~~","312/૭ ~~ "
"312/8/1","312/૮/૧ ~~","312/૮/૧ ~~ "
"312/8/2","312/૮/૨ ~~","312/૮/૨ ~~ "
"312/9","312/૯ ~~","312/૯ ~~ "
"312/10","312/૧૦ ~~","312/૧૦ ~~ "
"312/p","312/પ ~~","312/પ ~~ "
"313/1","313/૧ ~~","313/૧ ~~ "
"313/2","313/૨ ~~","313/૨ ~~ "
"313/3","313/૩ ~~","313/૩ ~~ "
"314/p","314/p ~~","314/p ~~ "
"315/1","315/૧ ~~","315/૧ ~~ "
"315/2/p1","315/૨/p૧ ~~","315/૨/p૧ ~~ "
"315/2/p2","315/૨/p૨ ~~","315/૨/p૨ ~~ "
"316","316 ~~","316 ~~ "
"317/અ1","317/અ૧ ~~","317/અ૧ ~~ "
"317/અ2/p","317/અ૨/p ~~","317/અ૨/p ~~ "
"317/બ","317/બ ~~","317/બ ~~ "
"318/1","318/૧ ~~","318/૧ ~~ "
"318/2","318/૨ ~~","318/૨ ~~ "
"318/3","318/૩ ~~","318/૩ ~~ "
"318/4","318/૪ ~~","318/૪ ~~ "
"318/6","318/૬ ~~","318/૬ ~~ "
"318/7","318/૭ ~~","318/૭ ~~ "
"318/8","318/૮ ~~","318/૮ ~~ "
"318/9","318/૯ ~~","318/૯ ~~ "
"318/10","318/૧૦ ~~","318/૧૦ ~~ "
"318/11","318/૧૧ ~~","318/૧૧ ~~ "
"318/12","318/૧૨ ~~","318/૧૨ ~~ "
"318/p","318/પ ~~","318/પ ~~ "
"319/1","319/૧ ~~","319/૧ ~~ "
"319/2","319/૨ ~~","319/૨ ~~ "
"319/3","319/૩ ~~","319/૩ ~~ "
"319/4","319/૪ ~~","319/૪ ~~ "
"319/6","319/૬ ~~","319/૬ ~~ "
"319/7","319/૭ ~~","319/૭ ~~ "
"319/8","319/૮ ~~","319/૮ ~~ "
"319/p","319/પ ~~","319/પ ~~ "
"320/1","320/૧ ~~","320/૧ ~~ "
"320/2","320/૨ ~~","320/૨ ~~ "
"320/3","320/૩ ~~","320/૩ ~~ "
"321/1","321/૧ ~~","321/૧ ~~ "
"321/2","321/૨ ~~","321/૨ ~~ "
"321/3","321/૩ ~~","321/૩ ~~ "
"321/4","321/૪ ~~","321/૪ ~~ "
"322","322 ~~","322 ~~ "
"323","323 ~~","323 ~~ "
"324/1","324/૧ ~~","324/૧ ~~ "
"324/2","324/૨ ~~","324/૨ ~~ "
"324/3","324/૩ ~~","324/૩ ~~ "
"324/4","324/૪ ~~","324/૪ ~~ "
"324/p","324/પ ~~","324/પ ~~ "
"325/1","325/૧ ~~","325/૧ ~~ "
"325/2","325/૨ ~~","325/૨ ~~ "
"325/3","325/૩ ~~","325/૩ ~~ "
"326","326 ~~","326 ~~ "
"327","327 ~~","327 ~~ "
"328","328 ~~","328 ~~ "
"329","329 ~~","329 ~~ "
"330","330 ~~","330 ~~ "
"331","331 ~~","331 ~~ "
"332","332 ~~","332 ~~ "
"333","333 ~~","333 ~~ "
"334/1/p","334/૧/p ~~","334/૧/p ~~ "
"334/2","334/૨ ~~","334/૨ ~~ "
"334/3","334/૩ ~~","334/૩ ~~ "
"335/1","335/૧ ~~","335/૧ ~~ "
"335/2","335/૨ ~~","335/૨ ~~ "
"335/3/p","335/૩/p ~~","335/૩/p ~~ "
"335/4","335/૪ ~~","335/૪ ~~ "
"336/1","336/૧ ~~","336/૧ ~~ "
"336/2","336/૨ ~~","336/૨ ~~ "
"337/1અ","337/૧અ ~~","337/૧અ ~~ "
"337/1બ","337/૧બ ~~","337/૧બ ~~ "
"337/2","337/૨ ~~","337/૨ ~~ "
"338/1","338/૧ ~~","338/૧ ~~ "
"338/2","338/૨ ~~","338/૨ ~~ "
"338/3","338/૩ ~~","338/૩ ~~ "
"339/1","339/૧ ~~","339/૧ ~~ "
"339/2","339/૨ ~~","339/૨ ~~ "
"340/1","340/૧ ~~","340/૧ ~~ "
"340/2","340/૨ ~~","340/૨ ~~ "
"341/1/p","341/૧/p ~~","341/૧/p ~~ "
"341/2","341/૨ ~~","341/૨ ~~ "
"341/3/p","341/૩/p ~~","341/૩/p ~~ "
"341/4","341/૪ ~~","341/૪ ~~ "
"341/p/p","341/પ/p ~~","341/પ/p ~~ "
"342/1/p2","342/૧/p૨ ~~","342/૧/p૨ ~~ "
"342/1p3","342/૧p૩ ~~","342/૧p૩ ~~ "
"342/2","342/૨ ~~","342/૨ ~~ "
"342/p1","342/p૧ ~~","342/p૧ ~~ "
"343/1","343/૧ ~~","343/૧ ~~ "
"343/2","343/૨ ~~","343/૨ ~~ "
"344/1","344/૧ ~~","344/૧ ~~ "
"344/2/p","344/૨/p ~~","344/૨/p ~~ "
"344/3","344/૩ ~~","344/૩ ~~ "
"345/1","345/૧ ~~","345/૧ ~~ "
"345/2","345/૨ ~~","345/૨ ~~ "
"346","346 ~~","346 ~~ "
"347/1","347/૧ ~~","347/૧ ~~ "
"347/2","347/૨ ~~","347/૨ ~~ "
"348","348 ~~","348 ~~ "
"349/1","349/૧ ~~","349/૧ ~~ "
"349/2","349/૨ ~~","349/૨ ~~ "
"349/3","349/૩ ~~","349/૩ ~~ "
"350/p","350/p ~~","350/p ~~ "
"351/1","351/૧ ~~","351/૧ ~~ "
"351/2","351/૨ ~~","351/૨ ~~ "
"352","352 ~~","352 ~~ "
"353/1","353/૧ ~~","353/૧ ~~ "
"353/1/p1","353/૧/p૧ ~~","353/૧/p૧ ~~ "
"353/2","353/૨ ~~","353/૨ ~~ "
"354","354 ~~","354 ~~ "
"355","355 ~~","355 ~~ "
"356/1","356/૧ ~~","356/૧ ~~ "
"356/2","356/૨ ~~","356/૨ ~~ "
"357/1+2","357/૧+૨ ~~","357/૧+૨ ~~ "
"357/2","357/૨ ~~","357/૨ ~~ "
"357+3p8/1/બ/p","357+૩પ૮/૧/બ/p ~~","357+૩પ૮/૧/બ/p ~~ "
"359","359 ~~","359 ~~ "
"360","360 ~~","360 ~~ "
"361/1/p","361/૧/p ~~","361/૧/p ~~ "
"362","362 ~~","362 ~~ "
"363","363 ~~","363 ~~ "
"364/p1","364/p૧ ~~","364/p૧ ~~ "
"365/2/p","365/૨/p ~~","365/૨/p ~~ "
"365/અ/1/p","365/અ/૧/p ~~","365/અ/૧/p ~~ "
"365/બ","365/બ ~~","365/બ ~~ "
"366/1","366/૧ ~~","366/૧ ~~ "
"366/2","366/૨ ~~","366/૨ ~~ "
"366/3","366/૩ ~~","366/૩ ~~ "
"366/4","366/૪ ~~","366/૪ ~~ "
"366/p","366/પ ~~","366/પ ~~ "
"367/1","367/૧ ~~","367/૧ ~~ "
"367/2","367/૨ ~~","367/૨ ~~ "
"367/3","367/૩ ~~","367/૩ ~~ "
"368/1","368/૧ ~~","368/૧ ~~ "
"368/2","368/૨ ~~","368/૨ ~~ "
"368/3","368/૩ ~~","368/૩ ~~ "
"369/1","369/૧ ~~","369/૧ ~~ "
"369/2","369/૨ ~~","369/૨ ~~ "
"369/3","369/૩ ~~","369/૩ ~~ "
"370/1","370/૧ ~~","370/૧ ~~ "
"370/2","370/૨ ~~","370/૨ ~~ "
"370/3/p","370/૩/p ~~","370/૩/p ~~ "
"371","371 ~~","371 ~~ "
"372/p1/p","372/p૧/p ~~","372/p૧/p ~~ "
"372/p2/p","372/p૨/p ~~","372/p૨/p ~~ "
"373/p","373/p ~~","373/p ~~ "
"374/1","374/૧ ~~","374/૧ ~~ "
"374/2","374/૨ ~~","374/૨ ~~ "
"374/3","374/૩ ~~","374/૩ ~~ "
"375/1","375/૧ ~~","375/૧ ~~ "
"375/2","375/૨ ~~","375/૨ ~~ "
"376/1","376/૧ ~~","376/૧ ~~ "
"376/2","376/૨ ~~","376/૨ ~~ "
"377/1","377/૧ ~~","377/૧ ~~ "
"377/2","377/૨ ~~","377/૨ ~~ "
"378/1","378/૧ ~~","378/૧ ~~ "
"378/2","378/૨ ~~","378/૨ ~~ "
"379/1","379/૧ ~~","379/૧ ~~ "
"379/2","379/૨ ~~","379/૨ ~~ "
"380","380 ~~","380 ~~ "
"381/1+2","381/૧+૨ ~~","381/૧+૨ ~~ "
"381/3","381/૩ ~~","381/૩ ~~ "
"381/4/p","381/૪/p ~~","381/૪/p ~~ "
"382","382 ~~","382 ~~ "
"383","383 ~~","383 ~~ "
"383/1/અ/1","383/૧/અ/૧ ~~","383/૧/અ/૧ ~~ "
"383/અ/2","383/અ/૨ ~~","383/અ/૨ ~~ "
"383/અ/3","383/અ/૩ ~~","383/અ/૩ ~~ "
"384/p1","384/p૧ ~~","384/p૧ ~~ "
"384/p2","384/p૨ ~~","384/p૨ ~~ "
"385/p","385/p ~~","385/p ~~ "
"386","386 ~~","386 ~~ "
"387","387 ~~","387 ~~ "
"388/1","388/૧ ~~","388/૧ ~~ "
"388/2","388/૨ ~~","388/૨ ~~ "
"389/1","389/૧ ~~","389/૧ ~~ "
"389/2","389/૨ ~~","389/૨ ~~ "
"390/1/p","390/૧/p ~~","390/૧/p ~~ "
"390/2","390/૨ ~~","390/૨ ~~ "
"390/3","390/૩ ~~","390/૩ ~~ "
"391/1","391/૧ ~~","391/૧ ~~ "
"391/2","391/૨ ~~","391/૨ ~~ "
"391/3","391/૩ ~~","391/૩ ~~ "
"391/4","391/૪ ~~","391/૪ ~~ "
"392/1","392/૧ ~~","392/૧ ~~ "
"392/2","392/૨ ~~","392/૨ ~~ "
"392/3","392/૩ ~~","392/૩ ~~ "
"392/4","392/૪ ~~","392/૪ ~~ "
"393","393 ~~","393 ~~ "
"394/1","394/૧ ~~","394/૧ ~~ "
"394/2","394/૨ ~~","394/૨ ~~ "
"395/p","395/p ~~","395/p ~~ "
"396/1","396/૧ ~~","396/૧ ~~ "
"396/2","396/૨ ~~","396/૨ ~~ "
"396/3/p1","396/૩/p૧ ~~","396/૩/p૧ ~~ "
"396/3/p2","396/૩/p૨ ~~","396/૩/p૨ ~~ "
"397","397 ~~","397 ~~ "
"398/1/p","398/૧/p ~~","398/૧/p ~~ "
"398/2","398/૨ ~~","398/૨ ~~ "
"399/1","399/૧ ~~","399/૧ ~~ "
"399/2+3p","399/૨+૩p ~~","399/૨+૩p ~~ "
"400/1","400/૧ ~~","400/૧ ~~ "
"400/2","400/૨ ~~","400/૨ ~~ "
"401/1","401/૧ ~~","401/૧ ~~ "
"401/2","401/૨ ~~","401/૨ ~~ "
"401/3","401/૩ ~~","401/૩ ~~ "
"402/1","402/૧ ~~","402/૧ ~~ "
"402/2","402/૨ ~~","402/૨ ~~ "
"402/3","402/૩ ~~","402/૩ ~~ "
"402/4","402/૪ ~~","402/૪ ~~ "
"403/1+2","403/૧+૨ ~~","403/૧+૨ ~~ "
"403/3","403/૩ ~~","403/૩ ~~ "
"404","404 ~~","404 ~~ "
"405/p","405/p ~~","405/p ~~ "
"406/p1","406/p૧ ~~","406/p૧ ~~ "
"406/p2","406/p૨ ~~","406/p૨ ~~ "
"406/અ","406/અ ~~","406/અ ~~ "
"406/બ","406/બ ~~","406/બ ~~ "
"407/1","407/૧ ~~","407/૧ ~~ "
"407/2","407/૨ ~~","407/૨ ~~ "
"407/3","407/૩ ~~","407/૩ ~~ "
"408/1","408/૧ ~~","408/૧ ~~ "
"408/2","408/૨ ~~","408/૨ ~~ "
"409","409 ~~","409 ~~ "
"410/1","410/૧ ~~","410/૧ ~~ "
"410/2","410/૨ ~~","410/૨ ~~ "
"411","411 ~~","411 ~~ "
"412/p1/p","412/p૧/p ~~","412/p૧/p ~~ "
"412/p2","412/p૨ ~~","412/p૨ ~~ "
"412/p3","412/p૩ ~~","412/p૩ ~~ "
"413","413 ~~","413 ~~ "
"414/1","414/૧ ~~","414/૧ ~~ "
"414/2","414/૨ ~~","414/૨ ~~ "
"415","415 ~~","415 ~~ "
"416/1","416/૧ ~~","416/૧ ~~ "
"416/2","416/૨ ~~","416/૨ ~~ "
"417","417 ~~","417 ~~ "
"418/1/p","418/૧/p ~~","418/૧/p ~~ "
"418/2/p","418/૨/p ~~","418/૨/p ~~ "
"419/p1","419/p૧ ~~","419/p૧ ~~ "
"419/p2","419/p૨ ~~","419/p૨ ~~ "
"420/p1","420/p૧ ~~","420/p૧ ~~ "
"420/p2","420/p૨ ~~","420/p૨ ~~ "
"421/1","421/૧ ~~","421/૧ ~~ "
"421/2+3+4+p","421/૨+૩+૪+પ ~~","421/૨+૩+૪+પ ~~ "
"422/1","422/૧ ~~","422/૧ ~~ "
"422/2/p","422/૨/p ~~","422/૨/p ~~ "
"423/1","423/૧ ~~","423/૧ ~~ "
"423/2","423/૨ ~~","423/૨ ~~ "
"423/3","423/૩ ~~","423/૩ ~~ "
"423/4","423/૪ ~~","423/૪ ~~ "
"423/6","423/૬ ~~","423/૬ ~~ "
"423/p/p","423/પ/p ~~","423/પ/p ~~ "
"424/1","424/૧ ~~","424/૧ ~~ "
"424/2","424/૨ ~~","424/૨ ~~ "
"424/3/1/p","424/૩/૧/p ~~","424/૩/૧/p ~~ "
"424/3/p1","424/૩/p૧ ~~","424/૩/p૧ ~~ "
"424/3/p2","424/૩/p૨ ~~","424/૩/p૨ ~~ "
"425/1","425/૧ ~~","425/૧ ~~ "
"425/2","425/૨ ~~","425/૨ ~~ "
"425/3","425/૩ ~~","425/૩ ~~ "
"426/1","426/૧ ~~","426/૧ ~~ "
"426/2/p","426/૨/p ~~","426/૨/p ~~ "
"427","427 ~~","427 ~~ "
"428","428 ~~","428 ~~ "
"429","429 ~~","429 ~~ "
"430/1","430/૧ ~~","430/૧ ~~ "
"430/2/p","430/૨/p ~~","430/૨/p ~~ "
"431","431 ~~","431 ~~ "
"432","432 ~~","432 ~~ "
"433","433 ~~","433 ~~ "
"434/1","434/૧ ~~","434/૧ ~~ "
"434/2","434/૨ ~~","434/૨ ~~ "
"434/3","434/૩ ~~","434/૩ ~~ "
"435/1","435/૧ ~~","435/૧ ~~ "
"435/2","435/૨ ~~","435/૨ ~~ "
"436/1","436/૧ ~~","436/૧ ~~ "
"436/2","436/૨ ~~","436/૨ ~~ "
"437","437 ~~","437 ~~ "
"438","438 ~~","438 ~~ "
"439/1/p","439/૧/p ~~","439/૧/p ~~ "
"439/2","439/૨ ~~","439/૨ ~~ "
"440","440 ~~","440 ~~ "
"441","441 ~~","441 ~~ "
"442/1","442/૧ ~~","442/૧ ~~ "
"442/2","442/૨ ~~","442/૨ ~~ "
"442/3","442/૩ ~~","442/૩ ~~ "
"442/4બ","442/૪બ ~~","442/૪બ ~~ "
"443","443 ~~","443 ~~ "
"444/1","444/૧ ~~","444/૧ ~~ "
"444/2","444/૨ ~~","444/૨ ~~ "
"444/3","444/૩ ~~","444/૩ ~~ "
"445","445 ~~","445 ~~ "
"446/1","446/૧ ~~","446/૧ ~~ "
"446/2","446/૨ ~~","446/૨ ~~ "
"446/3","446/૩ ~~","446/૩ ~~ "
"447","447 ~~","447 ~~ "
"448/p","448/p ~~","448/p ~~ "
"449/p","449/p ~~","449/p ~~ "
"450/1","450/૧ ~~","450/૧ ~~ "
"450/2","450/૨ ~~","450/૨ ~~ "
"450/3","450/૩ ~~","450/૩ ~~ "
"451/1/p","451/૧/p ~~","451/૧/p ~~ "
"451/2","451/૨ ~~","451/૨ ~~ "
"452","452 ~~","452 ~~ "
"453/1","453/૧ ~~","453/૧ ~~ "
"453/2","453/૨ ~~","453/૨ ~~ "
"453/3","453/૩ ~~","453/૩ ~~ "
"454/1","454/૧ ~~","454/૧ ~~ "
"454/2","454/૨ ~~","454/૨ ~~ "
"454/3","454/૩ ~~","454/૩ ~~ "
"455","455 ~~","455 ~~ "
"455/1/અ","455/૧/અ ~~","455/૧/અ ~~ "
"455/1/બ","455/૧/બ ~~","455/૧/બ ~~ "
"455/2","455/૨ ~~","455/૨ ~~ "
"455/3","455/૩ ~~","455/૩ ~~ "
"456","456 ~~","456 ~~ "
"457","457 ~~","457 ~~ "
"458/p","458/p ~~","458/p ~~ "
"459","459 ~~","459 ~~ "
"460/1","460/૧ ~~","460/૧ ~~ "
"460/2","460/૨ ~~","460/૨ ~~ "
"461","461 ~~","461 ~~ "
"462/1","462/૧ ~~","462/૧ ~~ "
"462/2","462/૨ ~~","462/૨ ~~ "
"463/1","463/૧ ~~","463/૧ ~~ "
"463/2","463/૨ ~~","463/૨ ~~ "
"463/3","463/૩ ~~","463/૩ ~~ "
"464/1","464/૧ ~~","464/૧ ~~ "
"464/2","464/૨ ~~","464/૨ ~~ "
"465/1","465/૧ ~~","465/૧ ~~ "
"465/2","465/૨ ~~","465/૨ ~~ "
"466/1","466/૧ ~~","466/૧ ~~ "
"466/2","466/૨ ~~","466/૨ ~~ "
"467/p","467/p ~~","467/p ~~ "
"468/1","468/૧ ~~","468/૧ ~~ "
"468/2","468/૨ ~~","468/૨ ~~ "
