normalized,display,value
"48/pઅ","48/પઅ ~~","48/પઅ ~~ "
"48/pબ","48/પબ ~~","48/પબ ~~ "
"49","49 ~~","49 ~~ "
"50/1","50/૧ ~~","50/૧ ~~ "
"50/2","50/૨ ~~","50/૨ ~~ "
"51/p","51/p ~~","51/p ~~ "
"52","52 ~~","52 ~~ "
"52અ","52અ ~~","52અ ~~ "
"53/1","53/૧ ~~","53/૧ ~~ "
"53/2","53/૨ ~~","53/૨ ~~ "
"53/3","53/૩ ~~","53/૩ ~~ "
"54/1","54/૧ ~~","54/૧ ~~ "
"54/2/p","54/૨/p ~~","54/૨/p ~~ "
"55/1","55/૧ ~~","55/૧ ~~ "
"55/2","55/૨ ~~","55/૨ ~~ "
"56","56 ~~","56 ~~ "
"57/1","57/૧ ~~","57/૧ ~~ "
"57/2","57/૨ ~~","57/૨ ~~ "
"58/p1","58/p૧ ~~","58/p૧ ~~ "
"58/p2","58/p૨ ~~","58/p૨ ~~ "
"58/p3","58/p૩ ~~","58/p૩ ~~ "
"58/p4","58/p૪ ~~","58/p૪ ~~ "
"59","59 ~~","59 ~~ "
"60/1","60/૧ ~~","60/૧ ~~ "
"60/2","60/૨ ~~","60/૨ ~~ "
"61/p1","61/p૧ ~~","61/p૧ ~~ "
"61/p2","61/p૨ ~~","61/p૨ ~~ "
"62/1","62/૧ ~~","62/૧ ~~ "
"62/2","62/૨ ~~","62/૨ ~~ "
"63/p","63/p ~~","63/p ~~ "
"64/1","64/૧ ~~","64/૧ ~~ "
"64/2","64/૨ ~~","64/૨ ~~ "
"64/3","64/૩ ~~","64/૩ ~~ "
"65/1/1","65/૧/૧ ~~","65/૧/૧ ~~ "
"65/1/2","65/૧/૨ ~~","65/૧/૨ ~~ "
"65/2","65/૨ ~~","65/૨ ~~ "
"66/1","66/૧ ~~","66/૧ ~~ "
"66/2","66/૨ ~~","66/૨ ~~ "
"67/1","67/૧ ~~","67/૧ ~~ "
"67/2","67/૨ ~~","67/૨ ~~ "
"68/1","68/૧ ~~","68/૧ ~~ "
"68/2","68/૨ ~~","68/૨ ~~ "
"68/3","68/૩ ~~","68/૩ ~~ "
"68/4","68/૪ ~~","68/૪ ~~ "
"68/6","68/૬ ~~","68/૬ ~~ "
"68/7","68/૭ ~~","68/૭ ~~ "
"68/p","68/પ ~~","68/પ ~~ "
"69/p1","69/p૧ ~~","69/p૧ ~~ "
"69/p2","69/p૨ ~~","69/p૨ ~~ "
"70","70 ~~","70 ~~ "
"71","71 ~~","71 ~~ "
"72/1","72/૧ ~~","72/૧ ~~ "
"72/2","72/૨ ~~","72/૨ ~~ "
"73","73 ~~","73 ~~ "
"74/p1","74/p૧ ~~","74/p૧ ~~ "
"74/p2","74/p૨ ~~","74/p૨ ~~ "
"75/1","75/૧ ~~","75/૧ ~~ "
"75/2","75/૨ ~~","75/૨ ~~ "
"75/3/p1","75/૩/p૧ ~~","75/૩/p૧ ~~ "
"75/3p2","75/૩p૨ ~~","75/૩p૨ ~~ "
"75/4","75/૪ ~~","75/૪ ~~ "
"76","76 ~~","76 ~~ "
"77/1","77/૧ ~~","77/૧ ~~ "
"77/2","77/૨ ~~","77/૨ ~~ "
"78/1","78/૧ ~~","78/૧ ~~ "
"78/2","78/૨ ~~","78/૨ ~~ "
"78/3","78/૩ ~~","78/૩ ~~ "
"79","79 ~~","79 ~~ "
"80","80 ~~","80 ~~ "
"81","81 ~~","81 ~~ "
"82","82 ~~","82 ~~ "
"83","83 ~~","83 ~~ "
"84","84 ~~","84 ~~ "
"85","85 ~~","85 ~~ "
"86/1/p","86/૧/p ~~","86/૧/p ~~ "
"86/2","86/૨ ~~","86/૨ ~~ "
"86/3","86/૩ ~~","86/૩ ~~ "
"86/4/p","86/૪/p ~~","86/૪/p ~~ "
"86/p","86/પ ~~","86/પ ~~ "
"87/p","87/p ~~","87/p ~~ "
"88/1/1","88/૧/૧ ~~","88/૧/૧ ~~ "
"88/1/2","88/૧/૨ ~~","88/૧/૨ ~~ "
"88/2","88/૨ ~~","88/૨ ~~ "
"88/3","88/૩ ~~","88/૩ ~~ "
"89","89 ~~","89 ~~ "
"90/1","90/૧ ~~","90/૧ ~~ "
"90/2","90/૨ ~~","90/૨ ~~ "
"91/1/1","91/૧/૧ ~~","91/૧/૧ ~~ "
"91/1/2","91/૧/૨ ~~","91/૧/૨ ~~ "
"91/2","91/૨ ~~","91/૨ ~~ "
"92/1અ","92/૧અ ~~","92/૧અ ~~ "
"92/1ક","92/૧ક ~~","92/૧ક ~~ "
"92/2/p","92/૨/p ~~","92/૨/p ~~ "
"92/p","92/p ~~","92/p ~~ "
"93","93 ~~","93 ~~ "
"94/p","94/p ~~","94/p ~~ "
"95/p","95/p ~~","95/p ~~ "
"96","96 ~~","96 ~~ "
"97","97 ~~","97 ~~ "
"98/1/p","98/૧/p ~~","98/૧/p ~~ "
"98/2/p1","98/૨/p૧ ~~","98/૨/p૧ ~~ "
"98/2/p2","98/૨/p૨ ~~","98/૨/p૨ ~~ "
"98/2/p3","98/૨/p૩ ~~","98/૨/p૩ ~~ "
"98/3","98/૩ ~~","98/૩ ~~ "
"99","99 ~~","99 ~~ "
"100/1/બ","100/૧/બ ~~","100/૧/બ ~~ "
"100/2","100/૨ ~~","100/૨ ~~ "
"100/3","100/૩ ~~","100/૩ ~~ "
"100/4","100/૪ ~~","100/૪ ~~ "
"101/2અ","101/૨અ ~~","101/૨અ ~~ "
"101/બ/3","101/બ/૩ ~~","101/બ/૩ ~~ "
"101/બ/4/p","101/બ/૪/p ~~","101/બ/૪/p ~~ "
"102/1/p1","102/૧/p૧ ~~","102/૧/p૧ ~~ "
"102/1/p2","102/૧/p૨ ~~","102/૧/p૨ ~~ "
"102/2/1અ","102/૨/૧અ ~~","102/૨/૧અ ~~ "
"102/2/1બ","102/૨/૧બ ~~","102/૨/૧બ ~~ "
"102/2/pઅ","102/૨/pઅ ~~","102/૨/pઅ ~~ "
"102/2/pબ","102/૨/pબ ~~","102/૨/pબ ~~ "
"103/1/p","103/૧/p ~~","103/૧/p ~~ "
"103/2/p1/p","103/૨/p૧/p ~~","103/૨/p૧/p ~~ "
"103/2/p2","103/૨/p૨ ~~","103/૨/p૨ ~~ "
"104","104 ~~","104 ~~ "
"105","105 ~~","105 ~~ "
"106/1","106/૧ ~~","106/૧ ~~ "
"106/2","106/૨ ~~","106/૨ ~~ "
"106/3","106/૩ ~~","106/૩ ~~ "
"107/p1","107/p૧ ~~","107/p૧ ~~ "
"107/p2","107/p૨ ~~","107/p૨ ~~ "
"107/p3","107/p૩ ~~","107/p૩ ~~ "
"107/p4","107/p૪ ~~","107/p૪ ~~ "
"107/p6","107/p૬ ~~","107/p૬ ~~ "
"107/p7","107/p૭ ~~","107/p૭ ~~ "
"107/pp","107/pપ ~~","107/pપ ~~ "
"108/1/p1","108/૧/p૧ ~~","108/૧/p૧ ~~ "
"108/1/p2","108/૧/p૨ ~~","108/૧/p૨ ~~ "
"108/2","108/૨ ~~","108/૨ ~~ "
"109","109 ~~","109 ~~ "
"110/1","110/૧ ~~","110/૧ ~~ "
"110/2","110/૨ ~~","110/૨ ~~ "
"110/2p","110/૨p ~~","110/૨p ~~ "
"111/1","111/૧ ~~","111/૧ ~~ "
"111/2","111/૨ ~~","111/૨ ~~ "
"112/1અ","112/૧અ ~~","112/૧અ ~~ "
"112/1બ","112/૧બ ~~","112/૧બ ~~ "
"112/2અ/p","112/૨અ/p ~~","112/૨અ/p ~~ "
"112/બ","112/બ ~~","112/બ ~~ "
"113/3ક","113/૩ક ~~","113/૩ક ~~ "
"113/અ/1/1","113/અ/૧/૧ ~~","113/અ/૧/૧ ~~ "
"113/અ/1/2","113/અ/૧/૨ ~~","113/અ/૧/૨ ~~ "
"113/ક/4/p","113/ક/૪/p ~~","113/ક/૪/p ~~ "
"113/બ","113/બ ~~","113/બ ~~ "
"114/1","114/૧ ~~","114/૧ ~~ "
"114/2","114/૨ ~~","114/૨ ~~ "
"114/3","114/૩ ~~","114/૩ ~~ "
"115/1","115/૧ ~~","115/૧ ~~ "
"115/2","115/૨ ~~","115/૨ ~~ "
"115/3","115/૩ ~~","115/૩ ~~ "
"116","116 ~~","116 ~~ "
"117/p","117/p ~~","117/p ~~ "
"118/p1","118/p૧ ~~","118/p૧ ~~ "
"118/p2","118/p૨ ~~","118/p૨ ~~ "
"119/1/p","119/૧/p ~~","119/૧/p ~~ "
"119/2/p","119/૨/p ~~","119/૨/p ~~ "
"120/1","120/૧ ~~","120/૧ ~~ "
"120/2/p","120/૨/p ~~","120/૨/p ~~ "
"121","121 ~~","121 ~~ "
"121/p1","121/p૧ ~~","121/p૧ ~~ "
"122/1","122/૧ ~~","122/૧ ~~ "
"122/2","122/૨ ~~","122/૨ ~~ "
"123/1","123/૧ ~~","123/૧ ~~ "
"123/2","123/૨ ~~","123/૨ ~~ "
"124","124 ~~","124 ~~ "
"125/1/p","125/૧/p ~~","125/૧/p ~~ "
"125/2","125/૨ ~~","125/૨ ~~ "
"125/3","125/૩ ~~","125/૩ ~~ "
"126/1","126/૧ ~~","126/૧ ~~ "
"126/2","126/૨ ~~","126/૨ ~~ "
"126/3","126/૩ ~~","126/૩ ~~ "
"126/4","126/૪ ~~","126/૪ ~~ "
"126/p","126/પ ~~","126/પ ~~ "
"127","127 ~~","127 ~~ "
"128/1","128/૧ ~~","128/૧ ~~ "
"128/2","128/૨ ~~","128/૨ ~~ "
"128/3","128/૩ ~~","128/૩ ~~ "
"128/4","128/૪ ~~","128/૪ ~~ "
"129/1","129/૧ ~~","129/૧ ~~ "
"129/2","129/૨ ~~","129/૨ ~~ "
"129/3","129/૩ ~~","129/૩ ~~ "
"129/4","129/૪ ~~","129/૪ ~~ "
"129/p","129/પ ~~","129/પ ~~ "
"130","130 ~~","130 ~~ "
"131/1અ","131/૧અ ~~","131/૧અ ~~ "
"131/1બ","131/૧બ ~~","131/૧બ ~~ "
